idcliente,nome,cpf,telefone,email
1,Carlos Silva,12345678901,"(47)912345678",carlos@email.com
2,Ana Souza,23456789012,"(47)923456789",ana@email.com
3,João Lima,34567890123,"(47)934567890",joao@email.com
4,Maria Oliveira,45678901234,"(41)945678901",maria@email.com
5,Fernanda Costa,56789012345,"(41)956789012",fernanda@email.com
6,José Santos,67890123456,"(47)967890123",jose@email.com
7,Paula Ferreira,78901234567,"(47)978901234",paula@email.com
8,Rafael Almeida,89012345678,"(47)989012345",rafael@email.com
9,Juliana Souza,90123456789,"(41)990123456",juliana@email.com
10,Roberto Lima,01234567890,"(47)900234567",roberto@email.com
